route_id,seq,node_id,lon,lat
10690894231__2334439514__cand_01_fastest,70,2197440890,-8.6541282,41.1795778
10690894231__2334439514__cand_01_fastest,71,5869802255,-8.6541317,41.1797002
10690894231__2334439514__cand_01_fastest,72,2334439514,-8.6539827,41.1800319
10690894231__2334439514__cand_02_corridor,0,10690894231,-8.5990632,41.1824076
10690894231__2334439514__cand_02_corridor,1,2198252493,-8.5990134,41.1825116
10690894231__2334439514__cand_02_corridor,2,420807840,-8.5972538,41.1820433
10690894231__2334439514__cand_02_corridor,3,420776909,-8.5971857,41.1821772
10690894231__2334439514__cand_02_corridor,4,420776895,-8.5971925,41.1823245
10690894231__2334439514__cand_02_corridor,5,788826702,-8.598063,41.1825582
10690894231__2334439514__cand_02_corridor,6,788826707,-8.5989819,41.1828079
10690894231__2334439514__cand_02_corridor,7,431925048,-8.5993444,41.1829043
10690894231__2334439514__cand_02_corridor,8,430267079,-8.6011118,41.1833779
10690894231__2334439514__cand_02_corridor,9,112651995,-8.601425,41.1834539
10690894231__2334439514__cand_02_corridor,10,446308238,-8.6026487,41.1837239
10690894231__2334439514__cand_02_corridor,11,112613601,-8.6034336,41.1837665
10690894231__2334439514__cand_02_corridor,12,4378185977,-8.6044589,41.1816699
10690894231__2334439514__cand_02_corridor,13,4378185663,-8.6050487,41.1804237
10690894231__2334439514__cand_02_corridor,14,430006697,-8.6051506,41.1802304
10690894231__2334439514__cand_02_corridor,15,412246600,-8.6063233,41.1785504
10690894231__2334439514__cand_02_corridor,16,5198412994,-8.6065315,41.1782479
10690894231__2334439514__cand_02_corridor,17,4455723336,-8.6076941,41.1771014
10690894231__2334439514__cand_02_corridor,18,9401053197,-8.6079369,41.1770267
10690894231__2334439514__cand_02_corridor,19,4381093226,-8.6080362,41.1770197
10690894231__2334439514__cand_02_corridor,20,444011313,-8.608115,41.1769383
10690894231__2334439514__cand_02_corridor,21,4381093236,-8.6080705,41.1768476
10690894231__2334439514__cand_02_corridor,22,4381093242,-8.6080198,41.1766509
10690894231__2334439514__cand_02_corridor,23,4573598284,-8.6082615,41.175985
10690894231__2334439514__cand_02_corridor,24,287458452,-8.6084741,41.1753527
10690894231__2334439514__cand_02_corridor,25,444004676,-8.6075439,41.1752538
