,from_node,to_node,edge_id,length_m,travel_time_sec,weight,graph_type
102089,11988938056,11988938057,11988938056|11988938057|0,28.2374261687945,3.0223865758582273,3.0223865758582273,time
102090,11988938057,11988938056,11988938057|11988938056|0,28.2374261687945,3.0223865758582273,3.0223865758582273,time
102091,11988938057,11988938003,11988938057|11988938003|0,13.26183572492305,1.0294567316966312,1.0294567316966312,time
102092,11988938058,11988938059,11988938058|11988938059|0,28.798223240482237,3.0824113646303264,3.0824113646303264,time
102093,11988938059,11981133838,11988938059|11981133838|0,20.272752081192554,1.5736826735667968,1.5736826735667968,time
102094,11988938059,11988938058,11988938059|11988938058|0,28.798223240482237,3.0824113646303264,3.0824113646303264,time
102095,11988938059,1640856590,11988938059|1640856590|0,2.6765781077438096,0.20777073461635598,0.20777073461635598,time
102096,11990916462,11257718231,11990916462|11257718231|0,27.307921260455,2.922897226497334,2.922897226497334,time
102097,11990916463,11990916464,11990916463|11990916464|0,26.526312406561445,2.839237898148547,2.839237898148547,time
102098,11990916464,11990916466,11990916464|11990916466|0,3.797225247316558,0.29476153782180237,0.29476153782180237,time
102099,11990916464,11990916463,11990916464|11990916463|0,26.526312406561445,2.839237898148547,2.839237898148547,time
102100,11990916464,11257718231,11990916464|11257718231|0,20.496124153537536,1.5910220440972598,1.5910220440972598,time
102101,11990916465,11990916466,11990916465|11990916466|0,26.363488646158476,2.82181009347786,2.82181009347786,time
102102,11990916466,11990916464,11990916466|11990916464|0,3.797225247316558,0.29476153782180237,0.29476153782180237,time
102103,11990916466,11990916465,11990916466|11990916465|0,26.363488646158476,2.82181009347786,2.82181009347786,time
102104,11990916466,11990916468,11990916466|11990916468|0,20.393587321298416,1.5830625704327626,1.5830625704327626,time
102105,11990916467,11990916468,11990916467|11990916468|0,25.559349197240245,2.7357392079445892,2.7357392079445892,time
102106,11990916468,11990916470,11990916468|11990916470|0,3.630224366833515,0.2817980096814679,0.2817980096814679,time
102107,11990916468,11990916467,11990916468|11990916467|0,25.559349197240245,2.7357392079445892,2.7357392079445892,time
102108,11990916468,11990916466,11990916468|11990916466|0,20.393587321298416,1.5830625704327626,1.5830625704327626,time
102109,11990916469,11990916470,11990916469|11990916470|0,25.53981183548501,2.733648030811669,2.733648030811669,time
102110,11990916470,11990916468,11990916470|11990916468|0,3.630224366833515,0.2817980096814679,0.2817980096814679,time
102111,11990916470,11990916469,11990916470|11990916469|0,25.53981183548501,2.733648030811669,2.733648030811669,time
102112,11990916470,11990916473,11990916470|11990916473|0,18.984452077308262,1.4736777316452911,1.4736777316452911,time
102113,11990916471,11990916473,11990916471|11990916473|0,31.121304452340247,3.3310618410362594,3.3310618410362594,time
102114,11990916473,1199517317,11990916473|1199517317|0,169.75785872559004,13.177539976237219,13.177539976237219,time
102115,11990916473,11990916470,11990916473|11990916470|0,18.984452077308262,1.4736777316452911,1.4736777316452911,time
102116,11990916473,11990916471,11990916473|11990916471|0,31.121304452340247,3.3310618410362594,3.3310618410362594,time
102117,11992448935,1562399186,11992448935|1562399186|0,52.306735194059584,4.060336877601474,4.060336877601474,time
102118,11992448945,11992448949,11992448945|11992448949|0,81.95706362855975,6.361958676953791,6.361958676953791,time
102119,11992448945,4411310779,11992448945|4411310779|0,114.9369040901359,8.922035537930553,8.922035537930553,time
102120,11992448945,4411310780,11992448945|4411310780|0,78.99167126827435,6.131768589341672,6.131768589341672,time
102121,11992448947,11992448949,11992448947|11992448949|0,77.93550078269352,6.049782819139652,6.049782819139652,time
102122,11992448949,11992448947,11992448949|11992448947|0,77.93550078269352,6.049782819139652,6.049782819139652,time
102123,11992448949,11992448945,11992448949|11992448945|0,81.95706362855975,6.361958676953791,6.361958676953791,time
102124,11992448949,11992448951,11992448949|11992448951|0,49.779209196846125,5.328106490089822,5.328106490089822,time
102125,11992448951,11992448949,11992448951|11992448949|0,49.779209196846125,5.328106490089822,5.328106490089822,time
102126,11992448952,9768822621,11992448952|9768822621|0,17.510380419335227,1.2289310082967917,1.2289310082967917,time
102127,11992448952,1562399188,11992448952|1562399188|0,163.8417342412032,11.49890424081266,11.49890424081266,time
102128,11992448952,11992448957,11992448952|11992448957|0,158.22522554500054,16.935601523691062,16.935601523691062,time
102129,11992448957,4411310779,11992448957|4411310779|0,23.317268535629005,1.8100148091617694,1.8100148091617694,time
102130,11992448957,1562399188,11992448957|1562399188|0,31.381707289194196,2.436020962036284,2.436020962036284,time
102131,11992448957,11992448952,11992448957|11992448952|0,158.22522554500054,16.935601523691062,16.935601523691062,time
102132,11992448961,11992448963,11992448961|11992448963|0,117.75991614146069,9.141173281767589,9.141173281767589,time
102133,11992448961,3646647023,11992448961|3646647023|0,64.67421721610539,5.020368949014121,5.020368949014121,time
102134,11992448961,11992476569,11992448961|11992476569|0,136.8663764866674,10.624321967156838,10.624321967156838,time
102135,11992448961,11992476572,11992448961|11992476572|0,55.12988706351737,4.279485474892073,4.279485474892073,time
102136,11992448963,11992448961,11992448963|11992448961|0,117.75991614146069,9.141173281767589,9.141173281767589,time
102137,11992476569,11992448961,11992476569|11992448961|0,136.8663764866674,10.624321967156838,10.624321967156838,time
102138,11992476572,3646647023,11992476572|3646647023|0,60.24899052573684,4.676858480314665,4.676858480314665,time
102139,11992476572,3640788334,11992476572|3640788334|0,277.9661728703416,21.57726530329066,21.57726530329066,time
102140,11992476572,11992448961,11992476572|11992448961|0,55.12988706351737,4.279485474892073,4.279485474892073,time
102141,11992476603,3646647111,11992476603|3646647111|0,104.54607322248589,11.190065495966635,11.190065495966635,time
102142,11992476606,3640788334,11992476606|3640788334|0,35.65981176064036,2.5675064467661057,2.5675064467661057,time
102143,11992476606,2334851920,11992476606|2334851920|0,246.87734777775222,17.77516903999816,17.77516903999816,time
102144,11992476606,11992476613,11992476606|11992476613|0,111.04773648970851,8.620136928265818,8.620136928265818,time
102145,11992476613,11992476606,11992476613|11992476606|0,111.04773648970851,8.620136928265818,8.620136928265818,time
102146,11994915861,11994975272,11994915861|11994975272|0,18.59729371414227,1.4436243671291813,1.4436243671291813,time
102147,11994915861,11994975276,11994915861|11994975276|0,10.848927533838184,0.8421535082363911,0.8421535082363911,time
102148,11994915861,11994975275,11994915861|11994975275|0,21.354060062012763,1.6576197546000575,1.6576197546000575,time
102149,11994915862,11994915863,11994915862|11994915863|0,13.9218677945118,1.0806920562223947,1.0806920562223947,time
