,from_node,to_node,edge_id,length_m,travel_time_sec,weight,graph_type
0,25503936,4722746638,25503936|4722746638|0,32.3884588871153,1.6656921713373583,32.3884588871153,length
1,25503936,281726624,25503936|281726624|0,223.0050674248059,20.07045606823253,223.0050674248059,length
2,25503951,1243857957,25503951|1243857957|0,112.29209326061732,10.106288393455557,112.29209326061732,length
3,25503951,4507024043,25503951|4507024043|0,191.73632976232852,17.256269678609566,191.73632976232852,length
4,25504027,1243857999,25504027|1243857999|0,118.91518288121583,6.115637976748243,118.91518288121583,length
5,25504163,25504183,25504163|25504183|0,77.18987824450706,3.087595129780282,77.18987824450706,length
6,25504183,2486710630,25504183|2486710630|0,272.9037444260964,10.916149777043854,272.9037444260964,length
7,25507474,277530119,25507474|277530119|0,118.13517256840123,7.0881103541040735,118.13517256840123,length
8,25507474,277537706,25507474|277537706|0,279.52233493969425,25.15701014457248,279.52233493969425,length
9,25507482,263912590,25507482|263912590|0,778.7500417099086,23.362501251297257,778.7500417099086,length
10,25507483,1323003287,25507483|1323003287|0,846.6451267155137,25.399353801465413,846.6451267155137,length
11,25507483,277530394,25507483|277530394|0,180.16432130439753,8.107394458697888,180.16432130439753,length
12,25507501,1523764270,25507501|1523764270|0,599.8421670965637,17.995265012896912,599.8421670965637,length
13,25507524,269391012,25507524|269391012|0,384.7269069020798,11.541807207062394,384.7269069020798,length
14,25507529,269389952,25507529|269389952|0,481.19432132772715,14.435829639831814,481.19432132772715,length
15,25507529,269390587,25507529|269390587|0,342.51989071363073,15.41339508211338,342.51989071363073,length
16,25507534,1155452469,25507534|1155452469|0,2527.723742159979,75.83171226479936,2527.723742159979,length
17,25507552,413275483,25507552|413275483|0,560.1390501118398,25.20625725503279,560.1390501118398,length
18,25507552,409114759,25507552|409114759|0,283.21546450233564,22.65723716018685,283.21546450233564,length
19,25507559,1731168926,25507559|1731168926|0,321.704983385903,14.476724252365637,321.704983385903,length
20,25507559,413301102,25507559|413301102|0,174.73833284758902,11.05501207205968,174.73833284758902,length
21,25507576,787318148,25507576|787318148|0,279.53792458332407,12.579206606249581,279.53792458332407,length
22,25507576,12144320063,25507576|12144320063|0,144.42379988902192,8.665427993341316,144.42379988902192,length
23,25507581,787318149,25507581|787318149|0,59.400797771335164,2.673035899710082,59.400797771335164,length
24,25507582,114310699,25507582|114310699|0,284.05864236532926,20.452222250303706,284.05864236532926,length
25,25507582,314545211,25507582|314545211|0,239.08959166792351,10.759031625056558,239.08959166792351,length
26,25507591,4685582565,25507591|4685582565|0,172.6983544730199,7.771425951285895,172.6983544730199,length
27,25507600,3693344965,25507600|3693344965|0,800.2798879308912,36.0125949568901,800.2798879308912,length
28,25507701,1319941553,25507701|1319941553|0,2271.430008969724,68.14290026909173,2271.430008969724,length
29,25620516,25620518,25620516|25620518|0,63.916604889390854,4.961558907483679,63.916604889390854,length
30,25620516,1386051842,25620516|1386051842|0,191.07579397291533,14.832355523755187,191.07579397291533,length
31,25620518,2852022741,25620518|2852022741|0,111.65381227331278,8.667183868696332,111.65381227331278,length
32,25620570,25632376,25620570|25632376|0,201.59363349158295,15.648808156707707,201.59363349158295,length
33,25620570,1106006327,25620570|1106006327|0,303.38311185185603,21.843584053333633,303.38311185185603,length
34,25620653,4685392598,25620653|4685392598|0,51.509012547229915,3.769343051235164,51.509012547229915,length
35,25620653,25620570,25620653|25620570|0,72.8418286976745,5.244611666232564,72.8418286976745,length
36,25620737,1386051849,25620737|1386051849|0,13.608823168364067,0.9958708293645955,13.608823168364067,length
37,25620737,25620947,25620737|25620947|0,86.22785825149838,6.208405794107884,86.22785825149838,length
38,25620737,10916713063,25620737|10916713063|0,28.06030770169644,2.020342154522144,28.06030770169644,length
39,25620737,10044812524,25620737|10044812524|0,85.42562467209795,9.143512574406662,85.42562467209795,length
40,25620743,9764806876,25620743|9764806876|0,4.02303152378773,0.2896582697127166,4.02303152378773,length
41,25620743,25620737,25620743|25620737|0,73.48889281783137,5.377793783793966,73.48889281783137,length
42,25620747,25620743,25620747|25620743|0,29.195076717269167,2.136446693743389,29.195076717269167,length
43,25620747,25632422,25620747|25632422|0,156.67277416573833,11.28043973993316,156.67277416573833,length
44,25620759,12241567151,25620759|12241567151|0,102.71221037468737,7.9730874813166945,102.71221037468737,length
45,25620947,25620948,25620947|25620948|0,107.29100930909645,8.328519073434395,107.29100930909645,length
46,25620948,10044812524,25620948|10044812524|0,70.22663601036442,5.451378277097319,70.22663601036442,length
47,25620960,3554720424,25620960|3554720424|0,50.776039663452096,3.71570532630929,50.776039663452096,length
48,25620960,137873037,25620960|137873037|0,131.04933314704473,15.725919977645367,131.04933314704473,length
49,25620960,25620947,25620960|25620947|0,132.1311072988373,9.513439725516285,132.1311072988373,length
50,25632226,25632227,25632226|25632227|0,108.93721421103557,8.272839809297079,108.93721421103557,length
51,25632226,25632228,25632226|25632228|0,172.79934538973188,13.413636922822228,172.79934538973188,length
52,25632227,25632361,25632227|25632361|0,113.20763864126152,8.597141632919344,113.20763864126152,length
53,25632227,25632231,25632227|25632231|0,192.0094417226768,14.904830404379675,192.0094417226768,length
